PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=40 ttl=63 time=6.71 ms
64 bytes from 10.0.2.22: icmp_seq=41 ttl=63 time=19.1 ms
64 bytes from 10.0.2.22: icmp_seq=42 ttl=63 time=17.7 ms
64 bytes from 10.0.2.22: icmp_seq=43 ttl=63 time=17.5 ms
64 bytes from 10.0.2.22: icmp_seq=44 ttl=63 time=14.3 ms
64 bytes from 10.0.2.22: icmp_seq=45 ttl=63 time=11.2 ms
64 bytes from 10.0.2.22: icmp_seq=46 ttl=63 time=17.4 ms
64 bytes from 10.0.2.22: icmp_seq=47 ttl=63 time=19.8 ms
64 bytes from 10.0.2.22: icmp_seq=48 ttl=63 time=21.3 ms
64 bytes from 10.0.2.22: icmp_seq=49 ttl=63 time=11.7 ms
64 bytes from 10.0.2.22: icmp_seq=50 ttl=63 time=21.5 ms
64 bytes from 10.0.2.22: icmp_seq=51 ttl=63 time=17.6 ms
64 bytes from 10.0.2.22: icmp_seq=52 ttl=63 time=20.3 ms
64 bytes from 10.0.2.22: icmp_seq=53 ttl=63 time=19.5 ms
64 bytes from 10.0.2.22: icmp_seq=54 ttl=63 time=17.6 ms
64 bytes from 10.0.2.22: icmp_seq=55 ttl=63 time=20.4 ms
64 bytes from 10.0.2.22: icmp_seq=56 ttl=63 time=22.9 ms
64 bytes from 10.0.2.22: icmp_seq=57 ttl=63 time=20.9 ms
64 bytes from 10.0.2.22: icmp_seq=58 ttl=63 time=16.8 ms
64 bytes from 10.0.2.22: icmp_seq=59 ttl=63 time=18.4 ms
64 bytes from 10.0.2.22: icmp_seq=60 ttl=63 time=21.1 ms
64 bytes from 10.0.2.22: icmp_seq=61 ttl=63 time=16.7 ms
64 bytes from 10.0.2.22: icmp_seq=62 ttl=63 time=19.8 ms
64 bytes from 10.0.2.22: icmp_seq=63 ttl=63 time=12.8 ms
64 bytes from 10.0.2.22: icmp_seq=64 ttl=63 time=13.2 ms
64 bytes from 10.0.2.22: icmp_seq=65 ttl=63 time=21.1 ms
64 bytes from 10.0.2.22: icmp_seq=66 ttl=63 time=12.4 ms
64 bytes from 10.0.2.22: icmp_seq=67 ttl=63 time=11.8 ms
64 bytes from 10.0.2.22: icmp_seq=68 ttl=63 time=20.5 ms
64 bytes from 10.0.2.22: icmp_seq=69 ttl=63 time=20.7 ms
64 bytes from 10.0.2.22: icmp_seq=70 ttl=63 time=21.2 ms
64 bytes from 10.0.2.22: icmp_seq=71 ttl=63 time=18.1 ms
64 bytes from 10.0.2.22: icmp_seq=72 ttl=63 time=16.3 ms
64 bytes from 10.0.2.22: icmp_seq=73 ttl=63 time=22.8 ms
64 bytes from 10.0.2.22: icmp_seq=74 ttl=63 time=21.9 ms
64 bytes from 10.0.2.22: icmp_seq=75 ttl=63 time=20.4 ms
64 bytes from 10.0.2.22: icmp_seq=76 ttl=63 time=17.0 ms
64 bytes from 10.0.2.22: icmp_seq=77 ttl=63 time=19.5 ms
64 bytes from 10.0.2.22: icmp_seq=78 ttl=63 time=20.6 ms
64 bytes from 10.0.2.22: icmp_seq=79 ttl=63 time=17.6 ms
64 bytes from 10.0.2.22: icmp_seq=80 ttl=63 time=18.6 ms
64 bytes from 10.0.2.22: icmp_seq=81 ttl=63 time=18.3 ms
64 bytes from 10.0.2.22: icmp_seq=82 ttl=63 time=18.8 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=63 time=19.7 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=63 time=22.8 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=63 time=22.4 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=63 time=21.2 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=63 time=21.6 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=63 time=21.7 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=63 time=17.7 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=63 time=22.0 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=63 time=20.4 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=63 time=19.6 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=63 time=21.6 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=63 time=18.7 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=63 time=22.5 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=63 time=21.5 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=63 time=18.2 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=63 time=17.6 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=63 time=20.6 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=63 time=115 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=63 time=616 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=63 time=777 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=63 time=1002 ms
64 bytes from 10.0.2.22: icmp_seq=104 ttl=63 time=1179 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=63 time=1276 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=63 time=1476 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=63 time=1686 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=63 time=1807 ms
64 bytes from 10.0.2.22: icmp_seq=109 ttl=63 time=1904 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=63 time=2000 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=63 time=2691 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=63 time=2738 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=63 time=3018 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=63 time=3052 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=63 time=3117 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=63 time=3204 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=63 time=3266 ms
64 bytes from 10.0.2.22: icmp_seq=118 ttl=63 time=3309 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=63 time=3328 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=63 time=3393 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=63 time=3419 ms
64 bytes from 10.0.2.22: icmp_seq=122 ttl=63 time=3447 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=63 time=4005 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=63 time=4070 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=63 time=4209 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=63 time=4194 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=3867 ms
64 bytes from 10.0.2.22: icmp_seq=137 ttl=63 time=3646 ms
64 bytes from 10.0.2.22: icmp_seq=139 ttl=63 time=3598 ms
64 bytes from 10.0.2.22: icmp_seq=140 ttl=63 time=3475 ms
64 bytes from 10.0.2.22: icmp_seq=141 ttl=63 time=3465 ms
64 bytes from 10.0.2.22: icmp_seq=145 ttl=63 time=3480 ms
64 bytes from 10.0.2.22: icmp_seq=146 ttl=63 time=3479 ms
64 bytes from 10.0.2.22: icmp_seq=150 ttl=63 time=3490 ms
64 bytes from 10.0.2.22: icmp_seq=153 ttl=63 time=3494 ms
64 bytes from 10.0.2.22: icmp_seq=155 ttl=63 time=3491 ms
64 bytes from 10.0.2.22: icmp_seq=159 ttl=63 time=3150 ms
64 bytes from 10.0.2.22: icmp_seq=161 ttl=63 time=2990 ms
64 bytes from 10.0.2.22: icmp_seq=164 ttl=63 time=2867 ms
64 bytes from 10.0.2.22: icmp_seq=165 ttl=63 time=2814 ms
64 bytes from 10.0.2.22: icmp_seq=166 ttl=63 time=2732 ms
64 bytes from 10.0.2.22: icmp_seq=167 ttl=63 time=2655 ms
64 bytes from 10.0.2.22: icmp_seq=168 ttl=63 time=2581 ms
64 bytes from 10.0.2.22: icmp_seq=169 ttl=63 time=2505 ms
64 bytes from 10.0.2.22: icmp_seq=170 ttl=63 time=2431 ms
64 bytes from 10.0.2.22: icmp_seq=172 ttl=63 time=2280 ms
64 bytes from 10.0.2.22: icmp_seq=174 ttl=63 time=2147 ms
64 bytes from 10.0.2.22: icmp_seq=175 ttl=63 time=2096 ms
64 bytes from 10.0.2.22: icmp_seq=176 ttl=63 time=2373 ms
64 bytes from 10.0.2.22: icmp_seq=179 ttl=63 time=3603 ms
64 bytes from 10.0.2.22: icmp_seq=180 ttl=63 time=3998 ms
64 bytes from 10.0.2.22: icmp_seq=181 ttl=63 time=4406 ms
64 bytes from 10.0.2.22: icmp_seq=182 ttl=63 time=4811 ms
64 bytes from 10.0.2.22: icmp_seq=183 ttl=63 time=5290 ms
64 bytes from 10.0.2.22: icmp_seq=188 ttl=63 time=7800 ms
64 bytes from 10.0.2.22: icmp_seq=189 ttl=63 time=8088 ms
64 bytes from 10.0.2.22: icmp_seq=190 ttl=63 time=8460 ms
64 bytes from 10.0.2.22: icmp_seq=191 ttl=63 time=8882 ms
64 bytes from 10.0.2.22: icmp_seq=193 ttl=63 time=10067 ms
64 bytes from 10.0.2.22: icmp_seq=194 ttl=63 time=10231 ms
64 bytes from 10.0.2.22: icmp_seq=195 ttl=63 time=10155 ms
64 bytes from 10.0.2.22: icmp_seq=196 ttl=63 time=10073 ms
64 bytes from 10.0.2.22: icmp_seq=197 ttl=63 time=9973 ms
64 bytes from 10.0.2.22: icmp_seq=198 ttl=63 time=9864 ms
64 bytes from 10.0.2.22: icmp_seq=199 ttl=63 time=9765 ms
64 bytes from 10.0.2.22: icmp_seq=200 ttl=63 time=9665 ms
64 bytes from 10.0.2.22: icmp_seq=201 ttl=63 time=9567 ms
64 bytes from 10.0.2.22: icmp_seq=202 ttl=63 time=9462 ms
64 bytes from 10.0.2.22: icmp_seq=204 ttl=63 time=9260 ms
64 bytes from 10.0.2.22: icmp_seq=205 ttl=63 time=9157 ms
64 bytes from 10.0.2.22: icmp_seq=211 ttl=63 time=8544 ms
64 bytes from 10.0.2.22: icmp_seq=213 ttl=63 time=8339 ms
64 bytes from 10.0.2.22: icmp_seq=214 ttl=63 time=8232 ms
64 bytes from 10.0.2.22: icmp_seq=218 ttl=63 time=7823 ms
64 bytes from 10.0.2.22: icmp_seq=219 ttl=63 time=7724 ms
64 bytes from 10.0.2.22: icmp_seq=224 ttl=63 time=7220 ms
64 bytes from 10.0.2.22: icmp_seq=225 ttl=63 time=7116 ms
64 bytes from 10.0.2.22: icmp_seq=226 ttl=63 time=7017 ms
64 bytes from 10.0.2.22: icmp_seq=228 ttl=63 time=6815 ms
64 bytes from 10.0.2.22: icmp_seq=229 ttl=63 time=6716 ms
64 bytes from 10.0.2.22: icmp_seq=231 ttl=63 time=6512 ms
64 bytes from 10.0.2.22: icmp_seq=232 ttl=63 time=6402 ms
64 bytes from 10.0.2.22: icmp_seq=233 ttl=63 time=6300 ms
64 bytes from 10.0.2.22: icmp_seq=234 ttl=63 time=6189 ms
64 bytes from 10.0.2.22: icmp_seq=235 ttl=63 time=6088 ms
64 bytes from 10.0.2.22: icmp_seq=236 ttl=63 time=5984 ms
64 bytes from 10.0.2.22: icmp_seq=237 ttl=63 time=5880 ms
64 bytes from 10.0.2.22: icmp_seq=238 ttl=63 time=5774 ms
64 bytes from 10.0.2.22: icmp_seq=239 ttl=63 time=5672 ms
64 bytes from 10.0.2.22: icmp_seq=240 ttl=63 time=5568 ms
64 bytes from 10.0.2.22: icmp_seq=241 ttl=63 time=5464 ms
64 bytes from 10.0.2.22: icmp_seq=242 ttl=63 time=5357 ms
64 bytes from 10.0.2.22: icmp_seq=243 ttl=63 time=5256 ms
64 bytes from 10.0.2.22: icmp_seq=244 ttl=63 time=5152 ms
64 bytes from 10.0.2.22: icmp_seq=245 ttl=63 time=5048 ms
64 bytes from 10.0.2.22: icmp_seq=246 ttl=63 time=4935 ms
64 bytes from 10.0.2.22: icmp_seq=247 ttl=63 time=4833 ms
64 bytes from 10.0.2.22: icmp_seq=248 ttl=63 time=4728 ms
64 bytes from 10.0.2.22: icmp_seq=249 ttl=63 time=4624 ms
64 bytes from 10.0.2.22: icmp_seq=250 ttl=63 time=4519 ms
64 bytes from 10.0.2.22: icmp_seq=251 ttl=63 time=4412 ms
64 bytes from 10.0.2.22: icmp_seq=252 ttl=63 time=4308 ms
64 bytes from 10.0.2.22: icmp_seq=253 ttl=63 time=4205 ms
64 bytes from 10.0.2.22: icmp_seq=254 ttl=63 time=4099 ms
64 bytes from 10.0.2.22: icmp_seq=255 ttl=63 time=3996 ms
64 bytes from 10.0.2.22: icmp_seq=256 ttl=63 time=3893 ms
64 bytes from 10.0.2.22: icmp_seq=257 ttl=63 time=3789 ms
64 bytes from 10.0.2.22: icmp_seq=258 ttl=63 time=3685 ms
64 bytes from 10.0.2.22: icmp_seq=259 ttl=63 time=3580 ms
64 bytes from 10.0.2.22: icmp_seq=260 ttl=63 time=3477 ms
64 bytes from 10.0.2.22: icmp_seq=261 ttl=63 time=3371 ms
64 bytes from 10.0.2.22: icmp_seq=262 ttl=63 time=3269 ms
64 bytes from 10.0.2.22: icmp_seq=263 ttl=63 time=3168 ms
64 bytes from 10.0.2.22: icmp_seq=264 ttl=63 time=3065 ms
64 bytes from 10.0.2.22: icmp_seq=265 ttl=63 time=2961 ms
64 bytes from 10.0.2.22: icmp_seq=266 ttl=63 time=2856 ms
64 bytes from 10.0.2.22: icmp_seq=267 ttl=63 time=2755 ms
64 bytes from 10.0.2.22: icmp_seq=268 ttl=63 time=2652 ms
64 bytes from 10.0.2.22: icmp_seq=269 ttl=63 time=2549 ms
64 bytes from 10.0.2.22: icmp_seq=270 ttl=63 time=2445 ms
64 bytes from 10.0.2.22: icmp_seq=271 ttl=63 time=2341 ms
64 bytes from 10.0.2.22: icmp_seq=272 ttl=63 time=2240 ms
64 bytes from 10.0.2.22: icmp_seq=273 ttl=63 time=2134 ms
64 bytes from 10.0.2.22: icmp_seq=274 ttl=63 time=2033 ms
64 bytes from 10.0.2.22: icmp_seq=275 ttl=63 time=1929 ms
64 bytes from 10.0.2.22: icmp_seq=276 ttl=63 time=1825 ms
64 bytes from 10.0.2.22: icmp_seq=277 ttl=63 time=1724 ms
64 bytes from 10.0.2.22: icmp_seq=278 ttl=63 time=1621 ms
64 bytes from 10.0.2.22: icmp_seq=279 ttl=63 time=1517 ms
64 bytes from 10.0.2.22: icmp_seq=280 ttl=63 time=1407 ms
64 bytes from 10.0.2.22: icmp_seq=281 ttl=63 time=1305 ms
64 bytes from 10.0.2.22: icmp_seq=282 ttl=63 time=1201 ms
64 bytes from 10.0.2.22: icmp_seq=283 ttl=63 time=1097 ms
64 bytes from 10.0.2.22: icmp_seq=284 ttl=63 time=993 ms
64 bytes from 10.0.2.22: icmp_seq=285 ttl=63 time=888 ms
64 bytes from 10.0.2.22: icmp_seq=286 ttl=63 time=785 ms
64 bytes from 10.0.2.22: icmp_seq=287 ttl=63 time=681 ms
64 bytes from 10.0.2.22: icmp_seq=288 ttl=63 time=577 ms
64 bytes from 10.0.2.22: icmp_seq=289 ttl=63 time=473 ms
64 bytes from 10.0.2.22: icmp_seq=290 ttl=63 time=373 ms
64 bytes from 10.0.2.22: icmp_seq=291 ttl=63 time=270 ms
64 bytes from 10.0.2.22: icmp_seq=292 ttl=63 time=165 ms
64 bytes from 10.0.2.22: icmp_seq=293 ttl=63 time=63.5 ms
64 bytes from 10.0.2.22: icmp_seq=294 ttl=63 time=0.129 ms
64 bytes from 10.0.2.22: icmp_seq=295 ttl=63 time=0.133 ms
64 bytes from 10.0.2.22: icmp_seq=296 ttl=63 time=0.076 ms
64 bytes from 10.0.2.22: icmp_seq=297 ttl=63 time=0.157 ms
64 bytes from 10.0.2.22: icmp_seq=298 ttl=63 time=0.148 ms
64 bytes from 10.0.2.22: icmp_seq=299 ttl=63 time=0.120 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=0.224 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=0.124 ms
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=0.105 ms
64 bytes from 10.0.2.22: icmp_seq=303 ttl=63 time=0.104 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=0.116 ms
64 bytes from 10.0.2.22: icmp_seq=305 ttl=63 time=41.1 ms
64 bytes from 10.0.2.22: icmp_seq=306 ttl=63 time=180 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=170 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=245 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=314 ms
64 bytes from 10.0.2.22: icmp_seq=310 ttl=63 time=393 ms
64 bytes from 10.0.2.22: icmp_seq=311 ttl=63 time=462 ms
64 bytes from 10.0.2.22: icmp_seq=312 ttl=63 time=557 ms
64 bytes from 10.0.2.22: icmp_seq=313 ttl=63 time=584 ms
64 bytes from 10.0.2.22: icmp_seq=314 ttl=63 time=585 ms
64 bytes from 10.0.2.22: icmp_seq=315 ttl=63 time=595 ms
64 bytes from 10.0.2.22: icmp_seq=316 ttl=63 time=594 ms
64 bytes from 10.0.2.22: icmp_seq=317 ttl=63 time=601 ms
64 bytes from 10.0.2.22: icmp_seq=318 ttl=63 time=611 ms
64 bytes from 10.0.2.22: icmp_seq=319 ttl=63 time=609 ms
64 bytes from 10.0.2.22: icmp_seq=320 ttl=63 time=604 ms
64 bytes from 10.0.2.22: icmp_seq=321 ttl=63 time=597 ms
64 bytes from 10.0.2.22: icmp_seq=322 ttl=63 time=592 ms
64 bytes from 10.0.2.22: icmp_seq=323 ttl=63 time=587 ms
64 bytes from 10.0.2.22: icmp_seq=324 ttl=63 time=663 ms
64 bytes from 10.0.2.22: icmp_seq=325 ttl=63 time=927 ms
64 bytes from 10.0.2.22: icmp_seq=326 ttl=63 time=1319 ms
64 bytes from 10.0.2.22: icmp_seq=327 ttl=63 time=1314 ms
64 bytes from 10.0.2.22: icmp_seq=328 ttl=63 time=1311 ms
64 bytes from 10.0.2.22: icmp_seq=329 ttl=63 time=1333 ms
64 bytes from 10.0.2.22: icmp_seq=330 ttl=63 time=1272 ms
64 bytes from 10.0.2.22: icmp_seq=331 ttl=63 time=1229 ms
64 bytes from 10.0.2.22: icmp_seq=332 ttl=63 time=1174 ms
64 bytes from 10.0.2.22: icmp_seq=333 ttl=63 time=1099 ms
64 bytes from 10.0.2.22: icmp_seq=334 ttl=63 time=1023 ms
64 bytes from 10.0.2.22: icmp_seq=335 ttl=63 time=935 ms
64 bytes from 10.0.2.22: icmp_seq=336 ttl=63 time=799 ms
64 bytes from 10.0.2.22: icmp_seq=337 ttl=63 time=707 ms
64 bytes from 10.0.2.22: icmp_seq=338 ttl=63 time=624 ms
64 bytes from 10.0.2.22: icmp_seq=339 ttl=63 time=711 ms
64 bytes from 10.0.2.22: icmp_seq=340 ttl=63 time=716 ms
64 bytes from 10.0.2.22: icmp_seq=341 ttl=63 time=722 ms
64 bytes from 10.0.2.22: icmp_seq=342 ttl=63 time=673 ms
64 bytes from 10.0.2.22: icmp_seq=344 ttl=63 time=617 ms
64 bytes from 10.0.2.22: icmp_seq=345 ttl=63 time=543 ms
64 bytes from 10.0.2.22: icmp_seq=346 ttl=63 time=555 ms
64 bytes from 10.0.2.22: icmp_seq=347 ttl=63 time=570 ms
64 bytes from 10.0.2.22: icmp_seq=348 ttl=63 time=577 ms
64 bytes from 10.0.2.22: icmp_seq=349 ttl=63 time=528 ms
64 bytes from 10.0.2.22: icmp_seq=350 ttl=63 time=582 ms
64 bytes from 10.0.2.22: icmp_seq=351 ttl=63 time=586 ms
64 bytes from 10.0.2.22: icmp_seq=352 ttl=63 time=538 ms
64 bytes from 10.0.2.22: icmp_seq=353 ttl=63 time=484 ms
64 bytes from 10.0.2.22: icmp_seq=354 ttl=63 time=486 ms
64 bytes from 10.0.2.22: icmp_seq=355 ttl=63 time=440 ms
64 bytes from 10.0.2.22: icmp_seq=356 ttl=63 time=359 ms
64 bytes from 10.0.2.22: icmp_seq=357 ttl=63 time=320 ms
64 bytes from 10.0.2.22: icmp_seq=358 ttl=63 time=315 ms
64 bytes from 10.0.2.22: icmp_seq=359 ttl=63 time=308 ms
64 bytes from 10.0.2.22: icmp_seq=360 ttl=63 time=308 ms
64 bytes from 10.0.2.22: icmp_seq=361 ttl=63 time=314 ms
64 bytes from 10.0.2.22: icmp_seq=362 ttl=63 time=314 ms
64 bytes from 10.0.2.22: icmp_seq=363 ttl=63 time=304 ms
64 bytes from 10.0.2.22: icmp_seq=364 ttl=63 time=290 ms
64 bytes from 10.0.2.22: icmp_seq=365 ttl=63 time=289 ms
64 bytes from 10.0.2.22: icmp_seq=366 ttl=63 time=285 ms
64 bytes from 10.0.2.22: icmp_seq=367 ttl=63 time=285 ms
64 bytes from 10.0.2.22: icmp_seq=368 ttl=63 time=289 ms
64 bytes from 10.0.2.22: icmp_seq=369 ttl=63 time=291 ms
64 bytes from 10.0.2.22: icmp_seq=370 ttl=63 time=296 ms
64 bytes from 10.0.2.22: icmp_seq=371 ttl=63 time=296 ms
64 bytes from 10.0.2.22: icmp_seq=372 ttl=63 time=296 ms
64 bytes from 10.0.2.22: icmp_seq=373 ttl=63 time=284 ms
64 bytes from 10.0.2.22: icmp_seq=374 ttl=63 time=284 ms
64 bytes from 10.0.2.22: icmp_seq=375 ttl=63 time=289 ms
64 bytes from 10.0.2.22: icmp_seq=376 ttl=63 time=329 ms
64 bytes from 10.0.2.22: icmp_seq=377 ttl=63 time=560 ms
64 bytes from 10.0.2.22: icmp_seq=378 ttl=63 time=676 ms
64 bytes from 10.0.2.22: icmp_seq=379 ttl=63 time=642 ms
64 bytes from 10.0.2.22: icmp_seq=380 ttl=63 time=627 ms
64 bytes from 10.0.2.22: icmp_seq=381 ttl=63 time=549 ms
64 bytes from 10.0.2.22: icmp_seq=382 ttl=63 time=463 ms
64 bytes from 10.0.2.22: icmp_seq=383 ttl=63 time=385 ms
64 bytes from 10.0.2.22: icmp_seq=384 ttl=63 time=308 ms
64 bytes from 10.0.2.22: icmp_seq=385 ttl=63 time=311 ms
64 bytes from 10.0.2.22: icmp_seq=386 ttl=63 time=302 ms
64 bytes from 10.0.2.22: icmp_seq=387 ttl=63 time=4135 ms
64 bytes from 10.0.2.22: icmp_seq=388 ttl=63 time=8584 ms
64 bytes from 10.0.2.22: icmp_seq=389 ttl=63 time=10104 ms
64 bytes from 10.0.2.22: icmp_seq=390 ttl=63 time=10032 ms
64 bytes from 10.0.2.22: icmp_seq=391 ttl=63 time=9929 ms
64 bytes from 10.0.2.22: icmp_seq=392 ttl=63 time=9826 ms
64 bytes from 10.0.2.22: icmp_seq=393 ttl=63 time=9724 ms
64 bytes from 10.0.2.22: icmp_seq=394 ttl=63 time=9621 ms
64 bytes from 10.0.2.22: icmp_seq=395 ttl=63 time=9518 ms
64 bytes from 10.0.2.22: icmp_seq=396 ttl=63 time=9416 ms
64 bytes from 10.0.2.22: icmp_seq=397 ttl=63 time=9313 ms
64 bytes from 10.0.2.22: icmp_seq=398 ttl=63 time=9210 ms
64 bytes from 10.0.2.22: icmp_seq=399 ttl=63 time=9106 ms
64 bytes from 10.0.2.22: icmp_seq=400 ttl=63 time=9005 ms
64 bytes from 10.0.2.22: icmp_seq=401 ttl=63 time=8903 ms
64 bytes from 10.0.2.22: icmp_seq=402 ttl=63 time=8800 ms
64 bytes from 10.0.2.22: icmp_seq=403 ttl=63 time=8698 ms
64 bytes from 10.0.2.22: icmp_seq=404 ttl=63 time=8596 ms
64 bytes from 10.0.2.22: icmp_seq=405 ttl=63 time=8493 ms
64 bytes from 10.0.2.22: icmp_seq=406 ttl=63 time=8389 ms
64 bytes from 10.0.2.22: icmp_seq=407 ttl=63 time=8287 ms
64 bytes from 10.0.2.22: icmp_seq=408 ttl=63 time=8182 ms
64 bytes from 10.0.2.22: icmp_seq=409 ttl=63 time=8082 ms
64 bytes from 10.0.2.22: icmp_seq=410 ttl=63 time=7980 ms
64 bytes from 10.0.2.22: icmp_seq=411 ttl=63 time=7869 ms
64 bytes from 10.0.2.22: icmp_seq=412 ttl=63 time=7765 ms
64 bytes from 10.0.2.22: icmp_seq=413 ttl=63 time=7664 ms
64 bytes from 10.0.2.22: icmp_seq=414 ttl=63 time=7558 ms
64 bytes from 10.0.2.22: icmp_seq=415 ttl=63 time=7452 ms
64 bytes from 10.0.2.22: icmp_seq=416 ttl=63 time=7349 ms
