1559114072.205494, 0
1559114072.224936, 1
1559114072.245634, 0
1559114072.274759, 1
1559114072.295550, 2
1559114072.317186, 9
1559114072.332352, 15
1559114072.348432, 17
1559114072.365627, 20
1559114072.392321, 28
1559114072.409015, 31
1559114072.427549, 36
1559114072.443611, 40
1559114072.458975, 50
1559114072.488726, 54
1559114072.514985, 64
1559114072.545678, 70
1559114072.573172, 79
1559114072.600680, 86
1559114072.625578, 95
1559114072.654084, 100
1559114072.684728, 99
1559114072.710983, 98
1559114072.754326, 99
1559114072.780256, 100
1559114072.807975, 99
1559114072.833056, 100
1559114072.859494, 99
1559114072.884115, 100
1559114072.911564, 99
1559114072.934522, 100
1559114072.961025, 99
1559114072.989073, 99
1559114073.014689, 100
1559114073.040685, 100
1559114073.077491, 100
1559114073.104196, 99
1559114073.127558, 100
1559114073.149098, 99
1559114073.192139, 97
1559114073.228990, 99
1559114073.247690, 100
1559114073.265194, 100
1559114073.283686, 99
1559114073.301404, 100
1559114073.318093, 100
1559114073.335540, 99
1559114073.351344, 100
1559114073.368644, 99
1559114073.384264, 100
1559114073.400820, 99
1559114073.417439, 99
1559114073.433409, 99
1559114073.449656, 98
1559114073.467122, 99
1559114073.484744, 99
1559114073.500348, 99
1559114073.515716, 99
1559114073.543595, 98
1559114073.570826, 95
1559114073.595768, 98
1559114073.619199, 100
1559114073.643441, 100
1559114073.673541, 99
1559114073.698455, 99
1559114073.723618, 100
1559114073.751656, 98
1559114073.781283, 97
1559114073.811707, 94
1559114073.835141, 94
1559114073.860388, 96
1559114073.883419, 96
1559114073.899590, 100
1559114073.916284, 99
1559114073.932860, 97
1559114073.949594, 95
1559114073.965972, 95
1559114073.981978, 94
1559114074.001802, 92
1559114074.029953, 94
1559114074.054870, 100
1559114074.081002, 99
1559114074.104553, 97
1559114074.129346, 96
1559114074.152917, 99
1559114074.179061, 99
1559114074.201905, 97
1559114074.225705, 92
1559114074.247754, 99
1559114074.272658, 98
1559114074.299421, 96
1559114074.321914, 96
1559114074.347971, 97
1559114074.374751, 97
1559114074.400389, 94
1559114074.426746, 97
1559114074.453990, 94
1559114074.482623, 100
1559114074.517955, 99
1559114074.545959, 96
1559114074.573692, 92
1559114074.592547, 97
1559114074.610311, 98
1559114074.635625, 96
1559114074.664070, 97
1559114074.692407, 99
1559114074.716120, 92
1559114074.742681, 87
1559114074.766576, 81
1559114074.797508, 78
1559114074.823133, 72
1559114074.849774, 68
1559114074.876333, 65
1559114074.902421, 64
1559114074.928969, 51
1559114074.958993, 38
1559114074.988507, 29
1559114075.011706, 24
1559114075.035390, 14
1559114075.061456, 15
1559114075.083525, 14
1559114075.106582, 13
1559114075.129414, 13
1559114075.152103, 15
1559114075.176378, 15
